english,chinese,example,note,source
insensitive,不敏感的；迟钝的,insensitive smellers,sensitive 反义,09-21 公平/气候/嗅觉
insignificant,不重要的；不显著的,the number was insignificant,significant 反义,09-21 公平/气候/嗅觉
insufficient,不足的,insufficient evidence,sufficiency,09-21 公平/气候/嗅觉
insurance policy,保险单；保险措施,take out an insurance policy,take out insurance,09-21 公平/气候/嗅觉
intellect,智力；理性思考能力,value intellect / hostility to intellect,区别 intelligence：intellect 更偏理性、思辨能力,09-20 反智/经济放缓
intellect and reasoning,智力与推理,center of intellect and reasoning,reasoning=推理,09-22 梦境/正式英语
intellectual,知识性的；学术性的；智力的,the language of intellectual biology,语境中强调专业/学术表达。,Day4 情报/动物实验
intellectual promise,智力潜力；学术潜质,least intellectual promise,promise 可指“前途、潜质”,09-20 反智/经济放缓
intellectual pursuit,智力/学术追求,intellectual pursuits,pursuit=追求；活动,09-20 反智/经济放缓
intend to show,意在说明,,作者意图题高频,09-22 梦境/正式英语
intensely powerful,极其强烈、有力的,intensely powerful mental events,intensely 修饰程度,09-22 梦境/正式英语
interaction,互动；相互作用,human interaction,,Day6 求职/字母偏见
interactive feature,交互式功能,an interactive feature,feature=功能/特点,Day6 求职/字母偏见
interest,利益；利害关系,interests of winners and losers,不是只有“兴趣”义,Day5 铁路/医疗
intermarriage,异族/不同群体通婚,rates of intermarriage,,09-23 移民/无家可归；09-24 移民/完形复盘
invaluable,极其宝贵的,probably an invaluable one,注意不是“没有价值”,09-22 梦境/正式英语
investigation,调查；研究,careful investigation reveals truth,investigate v.,09-21 公平/气候/嗅觉
invincible,不可战胜的,seem invincible,in- + vincible,Day5 铁路/医疗
jealous / jealous of,嫉妒的,jealous of each other,jealousy n.,09-21 公平/气候/嗅觉
job hunter,求职者,job hunters,≈ job seeker,Day6 求职/字母偏见
keep abreast of,及时了解；跟上最新进展,keep abreast of openings,高频短语,Day6 求职/字母偏见
keep abreast of / keep an eye on,前者=持续掌握最新进展；后者=留意、监视某对象,,,Day6 求职/字母偏见
keep an eye on,留意；密切关注,keep an eye on demand,≈ watch closely,Day6 求职/字母偏见
laborious,费力的；艰难的,laborious speech,laborious work,09-22 梦境/正式英语
lack of morals,缺乏道德,a lack of morals,lack of + n.,09-21 公平/气候/嗅觉
lag,滞后；落后；增长迟缓,sales have been lagging,lag behind,09-20 反智/经济放缓
largely,主要地；在很大程度上,this is largely because...,≈ mainly,09-21 公平/气候/嗅觉
lay the roots for,为……奠定根基,lay the roots for the CIA,≈ lay the foundation for。,Day4 情报/动物实验
legislative initiative,立法倡议,take the legislative initiative,initiative=主动权/倡议,09-21 公平/气候/嗅觉
legislative measure,立法措施,take legislative measures,take measures to do,09-21 公平/气候/嗅觉
less well known,不那么知名,less well-known surnames,well-known 的比较结构,Day6 求职/字母偏见
life / existence / survival / maintenance,life skills=生活技能是固定搭配；survival 偏“生存”；maintenance=维持,,,09-23 移民/无家可归；09-24 移民/完形复盘
life expectancy,预期寿命,longer life expectancy,高频社会话题词,Day5 铁路/医疗
life skills,生活技能,everyday life skills,,09-23 移民/无家可归；09-24 移民/完形复盘
limbic system,边缘系统；情绪脑区,the 'emotional brain',与 emotion 相关,09-22 梦境/正式英语
limit,限制；极限,accept a certain limit,事实边界语境,Day5 铁路/医疗
literally,确实地；字面上地,"literally, do it in their sleep",语境需判断,09-22 梦境/正式英语
liveliness,鲜活感；生气,denote liveliness,lively adj.；与 text 中 real liveliness 对应,09-22 梦境/正式英语
lodging / shelter / dwelling / house,lodging=临时住宿；shelter=收容/庇护场所；dwelling=住所（正式）；house=房屋。,,,09-23 移民/无家可归；09-24 移民/完形复盘
look out for,留意；寻找；当心,look out for opportunities,与 look after 区分,Day6 求职/字母偏见
luxury goods,奢侈品,grapes are luxury goods,经济/社会类高频,09-21 公平/气候/嗅觉
make a splash,引起轰动；造成巨大反响,make the biggest splash,splash 本义“水花”，引申为“轰动效应”。,Day4 情报/动物实验
make up a growing percentage of,构成越来越大的比例,The homeless make up a growing percentage of America’s population.,,09-23 移民/无家可归；09-24 移民/完形复盘
manicurist,美甲师,a 47-year-old manicurist,manicure 美甲,09-20 反智/经济放缓
markedly,明显地；显著地,behaviour became markedly different,≈ noticeably,09-21 公平/气候/嗅觉
mass media,大众媒体,forces for homogenization,,09-24 移民/完形复盘
mastery,掌握；精通；控制,mastery of electronic spying,mastery of sth。,Day4 情报/动物实验
matching position,匹配职位,a matching position is posted,match criteria,Day6 求职/字母偏见
mechanism of REM sleep,REM 睡眠机制,,mechanism=机制,09-22 梦境/正式英语
medicine,医学；医疗,modern medicine,不仅是“药”,Day5 铁路/医疗
memorized poetry,背诵过的诗歌,chunks of memorized poetry,memorize v.,09-22 梦境/正式英语
mental disorder,精神障碍,serious mental disorders,,09-24 移民/完形复盘
mental disorders,精神障碍,serious mental disorders,,09-23 移民/无家可归
merge / merger,合并；兼并,railroad mergers; companies merge,名词 merger；动词 merge,Day5 铁路/医疗
middle-brow,中等品位/大众化的,middle-brow department store,常与 highbrow/lowbrow 对照,09-20 反智/经济放缓
mildly concerned,略有担忧,only mildly concerned,mildly=轻微地,09-20 反智/经济放缓
militantly,激进地；斗争性地,militantly proclaim,militant adj.,09-20 反智/经济放缓
minority,少数群体,minority group,注意 minority ≠ minor,Day6 求职/字母偏见
misinformation,错误信息；不实信息,animal-rights misinformation,mis- 表“错误”。,Day4 情报/动物实验
mistrust,不信任；怀疑,intellect is mistrusted,mistrust n./v.,09-20 反智/经济放缓
mixed views,混合立场；观点不完全一致,mixed liberal and conservative views,mixed feelings 类似,09-22 梦境/正式英语
modesty,谦逊,denote modesty,modest adj.,09-22 梦境/正式英语
monopolizing,垄断,,monopoly,09-24 移民/完形复盘
monopoly,垄断；垄断地位,concerns about monopoly,反义 competition,Day5 铁路/医疗
mumble,含糊地说；咕哝,mumble through names,声音低而不清,Day6 求职/字母偏见
mutually,相互地；彼此地,mutually reinforcing / mutually beneficial,mutual 是形容词；mutually 是副词。,Day4 情报/动物实验
native intelligence,天生智力；本能聪慧,native intelligence,native=与生俱来的,09-20 反智/经济放缓
natural progression,自然发展过程,,be left to their natural progression,09-22 梦境/正式英语
necessarily,必然地,not necessarily related to,not necessarily=未必,09-22 梦境/正式英语
necessary / necessarily,必要的 / 必然地,not strictly necessary; not necessarily,,09-22 梦境/正式英语
negligence,疏忽；失职,government's negligence,negligent adj.,09-21 公平/气候/嗅觉
negotiate / negotiating,谈判；协商,negotiating compensation,negotiate with sb over sth,Day6 求职/字母偏见
neural-repair work,神经修复工作,neural-repair work during sleep,neural=神经的,09-22 梦境/正式英语
nightmare,噩梦,persistent nightmares,nightmare about,09-22 梦境/正式英语
no longer,不再,Americans no longer expect...,no longer + v.,09-22 梦境/正式英语
no matter,无论如何/不论,no matter + wh-,,09-24 移民/完形复盘
non-standard,非标准的,non-standard forms like Black English,与 standard English 对比,09-22 梦境/正式英语
nonconformist image,非传统、反主流的形象,a nonconformist image,nonconformist=不随大流的。,Day4 情报/动物实验
Now that / Although / Provided / Except that,Now that=既然；Although=尽管；Provided (that)=如果/只要；Except that=只是/除了这一点,,,09-23 移民/无家可归
obvious,明显的；显而易见的,an obvious fact,≈ evident/apparent。,Day4 情报/动物实验
old-fashioned,老式的；过时的,old-fashioned English-speakers,old-fashioned ≠ useless,09-22 梦境/正式英语
on the grounds that,以……为理由；基于……,justify ... on the grounds that,≈ because / on the basis that,Day5 铁路/医疗
on the horizon,即将发生；初露端倪,a boom on the horizon,比喻性高频短语,09-20 反智/经济放缓
only if,只有……才,only if 条件,必要条件,09-21 公平/气候/嗅觉
opponent of,……的反对者,an opponent of intellectualism,oppose v.,09-20 反智/经济放缓
outlet,零售店；销售点,car dealerships to Gap outlets,也可指“出口/渠道”,09-20 反智/经济放缓
outraged,愤怒的；义愤的,outraged by the lack of morals,outrage n./v.,09-21 公平/气候/嗅觉
overbidding,过度竞价；竞价过高,frenzied overbidding,bid v. 出价,09-20 反智/经济放缓
overcharge,索价过高；多收费,shippers are overcharged,over- 表过度,Day5 铁路/医疗
owe A to B,把 A 归因于 B,,A owes its emergence to B,09-24 移民/完形复盘
pace,速度；节奏,off last year's pace,at a fast pace,09-20 反智/经济放缓
package deal,一揽子方案,a package deal,,09-24 移民/完形复盘
panic,惊慌；恐慌,wake up in a panic,in a panic,09-22 梦境/正式英语
panic / panicked,恐慌；恐慌的,panic about sth,panic-panic(k)ed 拼写,09-20 反智/经济放缓
panicked,恐慌的,not panicked,panic n./v.,09-20 反智/经济放缓
paper plates / china,纸盘 / 瓷器,paper plates instead of china,文末比喻：实用 vs 审美文化价值,09-22 梦境/正式英语
paralysis by analysis,分析瘫痪；因过度分析而无法行动,a classic case of paralysis by analysis,考研阅读高价值表达,09-21 公平/气候/嗅觉
participate in,参与,participate in our democracy,participate in sth,09-20 反智/经济放缓
particular,特定的,a particular smell,≈ specific,09-21 公平/气候/嗅觉
pay attention,关注,starting to pay attention,pay attention to,09-21 公平/气候/嗅觉
pay attention to,注意；关注,pay much closer attention to,closer attention 强调更关注,09-21 公平/气候/嗅觉
perceive,感知；察觉,perceiving those smells,perception n.,09-21 公平/气候/嗅觉
performative genre,表演性文体,"personal, performative genre",genre=体裁,09-22 梦境/正式英语
perish,死亡；消亡,disintegrate and perish,书面词,Day5 铁路/医疗
permissive,宽松的；放任的,the permissive 1960s,permissiveness n.,09-22 梦境/正式英语
perplexed,困惑的；不解的,be perplexed that/by...,比 confused 更书面。,Day4 情报/动物实验
persist / persistent,持续 / 持续的,persistent nightmares,,09-22 梦境/正式英语
persist till...,持续到……,,persist till the time we fall asleep,09-22 梦境/正式英语
persistent,持续的；反复的,persistent nightmares,persistent problem,09-22 梦境/正式英语
personal search agent,个性化搜索代理,use a personal search agent,文中指自动替你搜职位的工具,Day6 求职/字母偏见
personality,个性,denote personality,personal/personality 区分,09-22 梦境/正式英语
pervasive,普遍的；弥漫的,pervasive anti-intellectualism,≈ widespread,09-20 反智/经济放缓
phenomenon,现象,explain a phenomenon,复数 phenomena,09-21 公平/气候/嗅觉
place a high value on,高度重视；看重,place a very high value on intellect,value 作名词：价值；该短语≈attach importance to,09-20 反智/经济放缓
pockets of,局部、小片区域的,pockets of seething anger：局部涌动的愤怒,,09-23 移民/无家可归
poisonous,有害的、有毒的,hardly poisonous：几乎无害,,09-23 移民/无家可归；09-24 移民/完形复盘
ponder,仔细思考；沉思,intellect ponders...,ponder over/upon sth,09-20 反智/经济放缓
populist urge,民粹冲动/倾向,democratic and populist urges,urge 在此为“冲动、倾向”,09-20 反智/经济放缓
post,发布；张贴,a job is posted,职位被发布,Day6 求职/字母偏见
potential,潜在的；可能的,potential jobs/employers,potential=有可能成为,Day6 求职/字母偏见
pour fumes into,向……排放烟气,pouring fumes into the air,fume=烟气,09-21 公平/气候/嗅觉
powerfully expressive,极富表现力的,can be powerfully expressive,expressive=有表现力的,09-22 梦境/正式英语
practical,实际的；实用的,practical is more important than intellectual,practical vs intellectual,09-20 反智/经济放缓
precede,先于；在……之前发生,slowdown precedes a boom,precede ≠ proceed,09-20 反智/经济放缓
precious embers,珍贵的余火；珍贵火种,the precious embers of medical progress,ember=余烬，文中是比喻“医学进步的火种”。,Day4 情报/动物实验
predict,预测,a study predicts that...,,09-24 移民/完形复盘
predominantly,主要地；占主导地,predominantly fed by...,≈ mainly,09-20 反智/经济放缓
preface,序言；前言,in the preface to the report,preface to,09-21 公平/气候/嗅觉
preference,偏好,preference for cucumbers,prefer v.,09-21 公平/气候/嗅觉
prefrontal cortex,前额叶皮层,the prefrontal cortex,与理性、推理相关,09-22 梦境/正式英语
presence,在场；存在,in the presence of ...,固定搭配,09-21 公平/气候/嗅觉
preserve,保持；维护,not the preserve of people alone,preserve n. 可指“专属领域”；preserve sth,09-21 公平/气候/嗅觉；09-20 反智/经济放缓
press for,强烈要求；敦促,press for more research,press for sth,09-21 公平/气候/嗅觉
press forward on,继续推进,press forward on deeper research,≈ push ahead with,09-21 公平/气候/嗅觉
pressing,紧迫的；迫切的,a pressing problem,pressing issue,Day5 铁路/医疗
private industry,私营产业,incentives for private industry,industry 不可数时指产业,09-21 公平/气候/嗅觉
privilege,特权；特殊优势,a form of power or privilege,privileged adj.,09-20 反智/经济放缓
proclaim,公开宣布；宣称,proclaim their hostility,比 announce 更正式,09-20 反智/经济放缓
professional help,专业帮助,,seek professional help,09-22 梦境/正式英语
proficiency,熟练；精通,proficiency in English/computing,强调熟练程度；常与 in 搭配。,Day4 情报/动物实验
proficient in,熟练掌握,proficient in English,,09-23 移民/无家可归；09-24 移民/完形复盘
progress / progression,进展 / 渐进过程,progression toward happier dreams,,09-22 梦境/正式英语
progression toward,朝……逐步发展,a progression toward happier ones,progression toward sth,09-22 梦境/正式英语
proper,得体的；规范的,do not talk proper,此处指规范标准,09-22 梦境/正式英语
prospect,前景；可能性,long-term prospects,prospects for growth,09-20 反智/经济放缓
protector / judge / critic / guide,保护者 / 裁判 / 批评者 / 指南,science as a guide,注意语境功能,09-21 公平/气候/嗅觉
prudent,谨慎的；审慎的,a prudent people,prudence n.,09-21 公平/气候/嗅觉
prudent planning,审慎规划,prudent planning hinders progress,prudent≠slow,09-21 公平/气候/嗅觉
public attitudes,公众态度,changes in public attitudes,attitude toward,09-22 梦境/正式英语
public funding,公共财政资助；政府资金,depend on public funding,funding 是不可数名词。,Day4 情报/动物实验
pull out,撤出；退出；拔出,pull out of an operation/market,阅读里常见“撤出”。,Day4 情报/动物实验
purchasing power,购买力,enhance purchasing power,经济学高频,09-20 反智/经济放缓
pursue knowledge,追求知识,pursue knowledge for the sake of knowledge,pursue=追求；后接名词,09-20 反智/经济放缓
put / interpret / assume / make,as sb puts it=正如某人所说；interpret=解释；assume=假设；make=使/制作,,,09-23 移民/无家可归
put pen to paper,动笔写作,when they put pen to paper,固定短语,09-22 梦境/正式英语
puts / interprets / assumes / makes,as sb. puts it=正如某人所说；interpret=解释；assume=假设；make=制作/使。,,,09-24 移民/完形复盘
qualification,资格；资历,worse qualification,job qualification,Day6 求职/字母偏见
radical / conservative,激进的 / 保守的,选项对比,政治/社会文体常见,09-22 梦境/正式英语
radical education reforms,激进的教育改革,radical reforms,radical=根本性的,09-22 梦境/正式英语
radical reform,激进改革,proposes no radical education reforms,radical=根本性的/激进的,09-22 梦境/正式英语
raise the minimum wage,提高最低工资,raise + wage,,09-23 移民/无家可归；09-24 移民/完形复盘
random by-product,随机副产品,random by-products,by-product of,09-22 梦境/正式英语
random outcome,随机结果,,outcome of neural repairs,09-22 梦境/正式英语
range,范围；区间,$4m to $10m range,in the range of,09-20 反智/经济放缓
range / differ / change / cover,range from...to... 表范围；differ 强调差异；change 普通变化；cover 可指覆盖范围。,,,09-24 移民/完形复盘
range from A to B,范围从 A 到 B,固定搭配,,09-24 移民/完形复盘
rarely,很少；罕有地,rarely do sth; rarely seen,频率副词，和 barely 不同：rarely=次数少，barely=程度低/几乎不。,Day4 情报/动物实验
rate increase,费率/运价上涨,huge rate increases,increase 作名词,Day5 铁路/医疗
rate relief,运价减免/缓解,appeal for rate relief,railway rate 语境,Day5 铁路/医疗
reach such proportions that…,达到如此规模，以至于……,proportion 在这里指“规模/程度”，不是只表示“比例”,,09-23 移民/无家可归；09-24 移民/完形复盘
real,真正的；实际存在的,a real staff of 20,在文中强调“确实有/真实的”。,Day4 情报/动物实验
real estate,房地产,real-estate market,estate 不等于 state,09-20 反智/经济放缓
real-estate broker,房地产经纪人,a Bay Area real-estate broker,broker 经纪人,09-20 反智/经济放缓
reasonably,合理地；适度地,spend reasonably,reasonable adj.；态度/程度副词,Day5 铁路/医疗
recitation room,背诵/课堂教室,college recitation rooms,recitation=背诵、课堂问答,09-20 反智/经济放缓
recruit,招募；吸收,recruit supporters to a cause,recruit sb to/for sth。,Day4 情报/动物实验
recurring,反复发生的,a recurring bad dream,recur v.,09-22 梦境/正式英语
red-hot economy,过热/极为火热的经济,red-hot economy is cooling,red-hot=炙手可热/极热,09-20 反智/经济放缓
refuse,拒绝,refused to accept the slice,refuse to do,09-21 公平/气候/嗅觉
regard ... as,把……视为……,be regarded as all too human,固定搭配,09-21 公平/气候/嗅觉
regardless of,不论；不管,regardless of class or background,,09-23 移民/无家可归；09-24 移民/完形复盘
reject,拒绝；排斥,reject the life of the mind,reject + n.,09-20 反智/经济放缓
relation of dreams to emotions,梦与情绪的关系,,relation of A to B,09-22 梦境/正式英语
relatively quiet,相对安静/不活跃,relatively quiet,relatively=相对地,09-22 梦境/正式英语
reliable,可靠的,reliable data,reliability,09-21 公平/气候/嗅觉
reluctant,不情愿的,the second was reluctant,reluctance n.,09-21 公平/气候/嗅觉
reluctantly,不情愿地,reluctantly admire intellect,reluctant adj.,09-20 反智/经济放缓
REM,快速眼动睡眠,active during REM sleep,rapid eye movement,09-22 梦境/正式英语
remain immune to,不受……影响；对……免疫,remain immune to the nation’s assimilative power,,09-23 移民/无家可归；09-24 移民/完形复盘
remedy,补救办法；治疗方法,a single remedy,remedy for sth,09-20 反智/经济放缓
reminder,提醒；提示物,send a reminder,,Day6 求职/字母偏见
remodel,改造；重新塑造,remodel common practices,re- + model。,Day4 情报/动物实验
remote,偏远的,remote villages,,09-23 移民/无家可归；09-24 移民/完形复盘
represent,代表；体现；意味着,intellect represents a form of power,represent = stand for,09-20 反智/经济放缓
resentment,怨恨；不满,induce resentment,resent v.,09-21 公平/气候/嗅觉
reserved consent,有保留的同意,,态度题常见“不是完全支持”,Day5 铁路/医疗
respectively,分别地；各自地,A and B are X and Y respectively,顺序一一对应,Day6 求职/字母偏见
respectively / separately,respectively 强调两组对象按顺序一一对应；separately 只是“分别地”,,,Day6 求职/字母偏见
respond forcefully to,强有力地回应,respond forcefully to criticism/advocates,forcefully=有力地、强硬地。,Day4 情报/动物实验
restraint,限制；约束,unnatural restraints on children,restrain v.,09-20 反智/经济放缓
reveal,揭示,reveal the truth,revelation n.,09-21 公平/气候/嗅觉
revenue,收入；营业收入,24 percent of their revenue,企业语境高频,09-20 反智/经济放缓
revive,使复兴；使恢复,revive spying as a profession,revive=重新使有活力。,Day4 情报/动物实验
rewarding,有回报的、值得的,,rewarding experience,09-24 移民/完形复盘
rid ... of ...,使……摆脱……,,ridding oneself of bad dreams,09-22 梦境/正式英语
rigorous,严格的；严谨的,rigorous book learning,rigorous training/research,09-20 反智/经济放缓
scientific,科学的,scientific treatment,science/scientific,Day5 铁路/医疗
searching / strolling / crowding / wandering,search=寻找；stroll=悠闲散步；crowd=拥挤；wander=无目的游荡,,,09-23 移民/无家可归
second to,次于；仅次于,second to intelligence,second to none=首屈一指,09-20 反智/经济放缓
second-rate,二流的；次等的,a second-rate country,first-rate=一流的,09-20 反智/经济放缓
seek help from,向……寻求帮助,seek help from a therapist,seek help/advice,09-22 梦境/正式英语
seem to,似乎,seems to be that...,seem to do,09-21 公平/气候/嗅觉
seething,强烈翻腾的、暗涌的,seething anger,,09-24 移民/完形复盘
sense,感知；感觉,cells which sense smells,sense v.,09-21 公平/气候/嗅觉
separate / adjoining chambers,分开的 / 相邻的隔间,placed in separate adjoining chambers,adjoining=毗邻的,09-21 公平/气候/嗅觉
serve as,充当；作为,science can serve as a guide,serve as + 身份/作用,09-21 公平/气候/嗅觉
shelter,收容所；庇护,比 lodging/dwelling/house 更贴合无家可归者语境,,09-24 移民/完形复盘
shots,注射；预防针,a pet's shots,口语中 shot 常=一针/疫苗注射。,Day4 情报/动物实验
show up,出现；显现,,show up in dreams,09-22 梦境/正式英语
shrink,缩小；减少,a shrinking group,shrink-shrank-shrunk,Day6 求职/字母偏见
shrink / shrinking,缩小；萎缩,shrinking market,反义 expand,Day5 铁路/医疗
shut up in,被关在；困在,shut up in schools and recitation rooms,注意不是“闭嘴”,09-20 反智/经济放缓
sign up for,注册；报名参加,sign up for a service,常考动词短语,Day6 求职/字母偏见
sign up for / apply for,sign up for=报名/注册服务；apply for=申请职位/项目,,,Day6 求职/字母偏见
signs of recovery,复苏迹象,show signs of recovery,高频经济短语,09-20 反智/经济放缓
silver lining,困境中的一线希望,see silver linings,every cloud has a silver lining,09-20 反智/经济放缓
similar to,与……相似,be similar to,similarity,09-21 公平/气候/嗅觉
slacking,偷懒；懈怠,a reputation for slacking,slack v./adj.,09-21 公平/气候/嗅觉
slight contempt,轻微的轻蔑,,contempt=轻视,Day5 铁路/医疗
small wonder,难怪；不足为奇,small wonder that...,≈ no wonder,Day5 铁路/医疗
smell of elitism,带有精英主义气息,anything that smells of elitism,smell of 可比喻“有……味道/迹象”,09-20 反智/经济放缓
smell receptor,嗅觉受体,smell receptors in the nose,receptor=受体,09-21 公平/气候/嗅觉
So / Since / As / Thus,So/Thus=结果；Since/As=原因或时间，需结合句法判断,,,09-23 移民/无家可归
spontaneity,自发性；自然流露,spontaneity over craft,spontaneous adj.,09-22 梦境/正式英语
spooks,间谍；特工（非正式）,the spooks,口语/新闻语体，常指情报人员。,Day4 情报/动物实验
spymaster,间谍头目；情报主管,an American spymaster,master 在这里不是“精通者”，而是负责人/掌控者。,Day4 情报/动物实验
stable,稳定的,cooperation remains stable,stability n.,09-21 公平/气候/嗅觉
staff a booth,在摊位配备/担任工作人员,a woman staffing an animal-rights booth,staff 可作动词：为……配备人员。,Day4 情报/动物实验
stakeholder,利益相关者,ultimate stakeholders are patients,商业/公共政策高频词。,Day4 情报/动物实验
statement,声明；陈述,make a statement,写作/阅读高频。,Day4 情报/动物实验
stay with sb all day,整天持续影响某人,those feelings can stay with us all day,stay with 有“持续影响”义,09-22 梦境/正式英语
steward,管理者；守护者,responsible stewards of the planet,stewardship n.,09-21 公平/气候/嗅觉
stick to,粘附在；坚持,smells stick to surfaces,另有“坚持”义,09-21 公平/气候/嗅觉
stimulus / stimuli,刺激；刺激物,external stimuli,复数 stimuli,09-21 公平/气候/嗅觉
stock exchange,证券交易所,on the stock exchange,exchange n.,09-20 反智/经济放缓
strictly necessary,严格来说必要的,is not strictly necessary,strictly=严格意义上,09-22 梦境/正式英语
stumble across,偶然发现；无意中碰到,stumble across a website/opportunity,≈ come across,Day6 求职/字母偏见
stumble across / come across,都可表示“偶然遇到/发现”；stumble across 更有“无意中撞见”的色彩,,,Day6 求职/字母偏见
substantial,大量的；重大的,substantial cost reductions,比 big 更正式,Day5 铁路/医疗
suburban,郊区的,suburban Cleveland,suburb n.,09-20 反智/经济放缓
such as,例如,such as smoke,举例,09-21 公平/气候/嗅觉
suitable,合适的,suitable for,suit v.,09-21 公平/气候/嗅觉
supervision / manipulation / regulation / coordination,supervision=监督；manipulation=操纵；regulation=规制；coordination=协调。,,,09-23 移民/无家可归；09-24 移民/完形复盘
supporter of smoking,支持吸烟的人,supporters of smoking,supporter of,09-21 公平/气候/嗅觉
suppress,压制；抑制,suppressing native intelligence,suppress growth/voice,09-20 反智/经济放缓
surgical,外科手术的,surgical procedure,surgery n.,Day5 铁路/医疗
suspect that,猜想；认为可能,researchers suspect that...,语气弱于 believe,09-22 梦境/正式英语
suspend,暂停；中止,logic is suspended,suspend judgment / suspend operation,09-22 梦境/正式英语
suspiciously,可疑地；令人怀疑地,suspiciously large,语气副词,Day6 求职/字母偏见
sustained boom,持续繁荣,a sustained boom,sustain v.,09-20 反智/经济放缓
talk nonsense,胡说八道,talking nonsense,nonsense 不可数,09-21 公平/气候/嗅觉
temper spending,控制/缓和消费,shoppers temper their spending,temper v.=使缓和,09-20 反智/经济放缓
temperament,性情；气质,appearance and temperament,temperamental adj.,09-21 公平/气候/嗅觉
temporary / permanent,临时的 / 永久的,paper plates vs china 选项,反义组,09-22 梦境/正式英语
the bulk of,大部分,the bulk of each day,,09-23 移民/无家可归；09-24 移民/完形复盘
the explanation for,……的解释,the explanation for insensitivity,explanation for,09-21 公平/气候/嗅觉
the figure may vary,数字可能变化,figure=数字；vary=变化,,09-23 移民/无家可归；09-24 移民/完形复盘
the latter / the former,后者 / 前者,a lesson from the latter is applicable to the former,阅读指代高频,09-21 公平/气候/嗅觉
the life of the mind,精神生活；思想生活,reject the life of the mind,抽象表达，阅读常见,09-20 反智/经济放缓
the rest of us,我们其余的人,For the rest of us...,固定表达,09-22 梦境/正式英语
thermostat,恒温调节器；调节机制,the mind's emotional thermostat,文中为比喻,09-22 梦境/正式英语
third-party payer,第三方付费者,costs paid by third-party payers,保险/政府等,Day5 铁路/医疗
though / although,虽然；不过,though 更灵活，可句末,让步,09-21 公平/气候/嗅觉
threat,威胁,the threat of competition,threaten v.,Day5 铁路/医疗
tighten the belt,勒紧裤腰带；节衣缩食,tighten the belt,与 belt-tightening 同源,09-20 反智/经济放缓
toast,为……祝酒,worth toasting,toast to sth,09-20 反智/经济放缓
token,代币；象征物,exchange a token for food,实验语境常指可交换代币,09-21 公平/气候/嗅觉
trace the roots of,追溯……的根源,trace the roots of anti-intellectualism,与 get to the roots of 近义,09-20 反智/经济放缓
transcendentalist,超验主义者,Transcendentalist philosophers,哲学文化背景词,09-20 反智/经济放缓
triumph,胜利；成功；巨大成就,the triumph of 1960s counter-culture,triumph over；既可名词也可动词。,09-22 梦境/正式英语；Day4 情报/动物实验
turbulent,动荡的、混乱的,America’s turbulent past,,09-23 移民/无家可归；09-24 移民/完形复盘
turn around / turn over / turn on / turn up,turn around=扭转、好转；turn over=翻转/移交；turn on=打开；turn up=出现/调高,,,09-23 移民/无家可归
turn one’s life around,使生活好转、扭转人生,turn around = 好转、扭转,,09-23 移民/无家可归；09-24 移民/完形复盘
unacceptable,不可接受的,inhuman and unacceptable,accept → acceptable → unacceptable。,Day4 情报/动物实验
unaffordable,负担不起的,medical costs become unaffordable,afford→affordable→unaffordable,Day5 铁路/医疗
unanswered question,尚未解答的问题,an unanswered question,阅读总结常见,09-21 公平/气候/嗅觉
uncertain,不确定的,the science uncertain,uncertainty n.,09-21 公平/气候/嗅觉
unconscious,无意识的,unconscious desires and fears,conscious 反义,09-22 梦境/正式英语
unconscious / conscious,无意识的 / 有意识的,dreams under conscious control,,09-22 梦境/正式英语
underlie,构成……的基础；潜藏在……下面,underlies power,过去式 underlay，过去分词 underlain,09-20 反智/经济放缓
underrated,被低估的,an underrated tool,underestimate v. 同义方向,09-21 公平/气候/嗅觉
undervalue,低估；轻视,undervaluing intellect,反义 overvalue,09-20 反智/经济放缓
uniformity,一致、千篇一律,democratizing uniformity,,09-24 移民/完形复盘
unimaginable,难以想象的,once unimaginable,imagine→imaginable,Day5 铁路/医疗
unlikely,不太可能的,unlikely to appeal for relief,likely/unlikely,Day5 铁路/医疗
unmistakable,明显的；不容误认的,the trend is unmistakable,mistakable 反义,09-22 梦境/正式英语
unprecedented,前所未有的,at unprecedented levels,,09-24 移民/完形复盘
upright,直立的,we stand upright,upright posture,09-21 公平/气候/嗅觉
upsetting,令人不安的,what is upsetting about the dream,upset v./adj.,09-22 梦境/正式英语
upsetting parallel,令人不安的相似之处,There are upsetting parallels today,parallel n.=相似情况,09-21 公平/气候/嗅觉
upside,有利的一面；上行空间,see an upside,与 downside 对照,09-20 反智/经济放缓
vacuum up,大量搜集；席卷式收集,vacuum up data bits,形象化：像吸尘器一样把信息吸走。,Day4 情报/动物实验
vain,徒劳的；自负的,take a vain pride / vain attempt,此处多为“虚荣/徒劳”视语境,Day5 铁路/医疗
valuable / invaluable,有价值 / 极其宝贵,invaluable ≠ valueless,,09-22 梦境/正式英语
vanish,消失；突然不复存在,pleasure can vanish,≈ disappear,09-21 公平/气候/嗅觉
vast,巨大的；广阔的,vast consolidation,语气强于 large,Day5 铁路/医疗
venture investment,风险投资,venture capital/investment,venture=风险事业,09-20 反智/经济放缓
visualize,在脑中想象；使可视化,visualize how you would like it to end,visualization n.,09-22 梦境/正式英语
vivid,生动的；鲜明的,vivid dreams,vivid memory/image,09-22 梦境/正式英语
